,3,Memory Stain 3,"1. RUCKENFIGUR MS — BOY 
Slight angle behind BOY. Full bed visible; BOY kneels on the bed, head down. Depth in the background, if possible.

2. SLOW TRACK IN — BOY
Slow, short track toward BOY, settling on a CU. BOY slowly turns his head to look back, revealing tears in his eyes. Hold. 

3. SLOW PAN — WOMAN
Camera slowly pans from BOY toward WOMAN, stopping short of 180 degrees to reveal her standing beside a tree at the edge of the forest. ",MS -> CU -> WS,Eye,"Static ->
Slow Track In ->
Hold ->
Slow Pan ",35,1/8 Pro-Mist,800 / T2.8,BOY + WOMAN,amb,1,"BOY/WOMAN perpendicular. Pan stops short of 180 (110-120 deg)

WOMAN framed beside tree at forest edge.

Last frame could be EWS. WOMAN's face must remain obscured. ",,
,7. EXT. LOVER'S LEAP/PARK,,,,,,,,,,,,,,
,p-18,p.10,"MAN & WOMAN sit on the ledge at Lover's Leap. WOMAN reading, pauses. Translation debate.",WS (2-shot),Eye,Static,50,,800 / T2.8,MAN + WOMAN,Dialogue,1,Establish the Leap. The deadlock conversation — never let the thesis be spoken plainly.,,
,p-19,p.10-11,Transmission / poetry exchange. 'A poem makes you feel that something was felt.',MCU,Eye,Static,85,,800 / T2.8,MAN / WOMAN,Dialogue,2,Positional chiasmus peaks: 'Beauty is futural…' / 'It is elegaic in substance.' Singles both sides.,,
,p-20,p.12,Deadlock. Nature stays SILENT this time. Trees/skies 'listen in.' They are one with Nature.,WS,Eye,Slow push-in (dolly) TARKOVSKY PAN across nature → slow descent back to subjects,85 / 200-600,,800 / T2.8,Landscape → MAN+WOMAN,silence / amb,3,THE silent-conversation answer to the deadlock. Hero move — block & rehearse the pan/return. Mughal stack on the wide.,,
,p-21,p.12,Coda: 'How old are the trees? The skies? / And the wind? / It's hard to say / It's hard to know.' Hold.,MS (2-shot),Eye,Static — HOLD,85,,800 / T2.8,MAN + WOMAN,Dialogue,1,Stillness is the answer to the dolly's weight. Hold the shot long.,,
,8. EXT. WOODS – CONTINUOUS,,,,,,,,,,,,,,
,Final Stain-01,Final Stain,"WOMAN, now OLD, stands in the forest. Looks somberly into distance. Cut to black.",MS,Eye,Slow push-out (dolly),85,1/8 Pro-Mist,800 / T2.8,OLD WOMAN,amb (wordless),2,"Do NOT style nostalgically (Tarkovsky-derivative danger). She looks toward camera/distance, then CUT TO BLACK.",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
9,Memory Stain 1-01,Memory Stain 1,"1. STATIC ESTABLISHING
BOY (7) in forest picks up soil, hears his name, turns toward unseen source.

2. Boy Stands
Slowly

3. Boy begins walking
BOY begins to walk — is he pulled or searching? Following.",WS -> MS,Low,Static -> pedestal up -> Static -> Follow,20,,800 / T2.8,BOY,amb (wordless),1,Wordless. Boy is ACTIVE not passive — pulled vs. searching ambiguity. Highest-risk sequence; storyboard fully.,,
